filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints21_Len9_Sync_Freq1.txt,21,9,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len9_Sync_Freq2.txt,21,9,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints21_Len9_Sync_Freq3.txt,21,9,Sync,3,0.472222,0.571429,0.312500,0.454545,0.370370
ds_NumPoints24_Len12_Async_Freq1.txt,24,12,Async,1,0.222222,0.333333,0.600000,0.818182,0.692308
ds_NumPoints24_Len12_Async_Freq2.txt,24,12,Async,2,0.138889,0.238095,0.714286,0.909091,0.800000
ds_NumPoints24_Len12_Async_Freq3.txt,24,12,Async,3,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints24_Len12_Sync_Freq1.txt,24,12,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len12_Sync_Freq2.txt,24,12,Sync,2,0.555556,0.619048,0.200000,0.272727,0.230769
ds_NumPoints24_Len12_Sync_Freq3.txt,24,12,Sync,3,0.416667,0.571429,0.375000,0.545455,0.444444
ds_NumPoints24_Len15_Async_Freq1.txt,24,15,Async,1,0.138889,0.238095,0.714286,0.909091,0.800000
ds_NumPoints24_Len15_Async_Freq2.txt,24,15,Async,2,0.222222,0.333333,0.615385,0.727273,0.666667
ds_NumPoints24_Len15_Async_Freq3.txt,24,15,Async,3,0.111111,0.190476,0.769231,0.909091,0.833333
ds_NumPoints24_Len15_Sync_Freq1.txt,24,15,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len15_Sync_Freq2.txt,24,15,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints24_Len15_Sync_Freq3.txt,24,15,Sync,3,0.361111,0.571429,0.444444,0.727273,0.551724
ds_NumPoints24_Len18_Async_Freq1.txt,24,18,Async,1,0.166667,0.285714,0.666667,0.909091,0.769231
ds_NumPoints24_Len18_Async_Freq2.txt,24,18,Async,2,0.083333,0.142857,0.785714,1.000000,0.880000
